OFFICE TYPE	SITE NAME	ADDRESS	SUBURB	STATE	POSTCODE	LATITUDE	LONGITUDE	Geo Coordinate
Centrelink Customer Service Centre	Smithfield (Shopfront)	"Shops 77 / 77a, Smithfield Shopping Centre, Corner Kennedy and Cook Highway"	Smithfield	QLD	4878	-16.83731	145.69267	-16.83731;145.69267
Centrelink Customer Service Centre	Strathpine	242 Gympie Road	Strathpine	QLD	4500	-27.30889	152.98989	-27.30889;152.98989
Centrelink Customer Service Centre	Springwood	107-109 Macquarie Road	Springwood	NSW	2777	-33.69887	150.56832	-33.69887;150.56832
Centrelink Customer Service Centre	Southport	5-15 Suter Street	Southport	QLD	4215	-27.97013	153.41132	-27.97013;153.41132
Centrelink Customer Service Centre	Springvale	324-334 Springvale Road	Springvale	VIC	3171	-37.95584	145.15157	-37.95584;145.15157
Centrelink Customer Service Centre	Sorell	"Shop 3, 5 Fitzroy Street"	Sorell	TAS	7172	-42.78292	147.56325	-42.78292;147.56325
Centrelink Customer Service Centre	Watergardens	"Ground Floor, 399 Melton Hwy, Sydenham"	Taylors Lakes	VIC	3038	-37.69821	144.78003	-37.69821;144.78003
Centrelink Customer Service Centre	St Marys	47 Phillip Street	St Marys	NSW	2760	-33.76351	150.77569	-33.76351;150.77569
Centrelink Customer Service Centre	Stanthorpe	10 Corundum Road	Stanthorpe	QLD	4380	-28.65209	151.93541	-28.65209;151.93541
Centrelink Customer Service Centre	Stones Corner	Corner Logan Road and Cornwall Street	Stones Corner	QLD	4120	-27.50329	153.04698	-27.50329;153.04698
Centrelink Customer Service Centre	Stawell	27 Church Street	Stawell	VIC	3380	-37.05481	142.78162	-37.05481;142.78162
Centrelink Customer Service Centre	Sunshine	45 Dickson Street	Sunshine	VIC	3020	-37.7865	144.83338	-37.7865;144.83338
Centrelink Customer Service Centre	Sutherland	36 Eton Street	Sutherland	NSW	2232	-34.03181	151.05905	-34.03181;151.05905
Centrelink Customer Service Centre	Swan Hill	221-227 Beveridge Street	Swan Hill	VIC	3585	-35.34161	143.55917	-35.34161;143.55917
Centrelink Customer Service Centre	Success	"Unit 7, 11 Wentworth Parade"	Success	WA	6164	-32.13041	115.85295	-32.13041;115.85295
Centrelink Customer Service Centre	Taree	184-188 Victoria Street	Taree	NSW	2430	-31.91356	152.46107	-31.91356;152.46107
Centrelink Customer Service Centre	Tamworth	219-223 Peel Street	Tamworth	NSW	2340	-31.08799	150.92714	-31.08799;150.92714
Centrelink Customer Service Centre	Tennant Creek	77 Paterson Street	Tennant Creek	NT	862	-19.64527	134.1908	-19.64527;134.1908
Centrelink Customer Service Centre	Palm Island	Lot 74 Main Street	Palm Island	QLD	4816	-18.73457	146.57899	-18.73457;146.57899
Centrelink Customer Service Centre	Toronto	2-6 Donnelly Avenue	Toronto	NSW	2283	-33.01121	151.59433	-33.01121;151.59433
Centrelink Customer Service Centre	Torrensville	132-136 Henley Beach Road	Torrensville	SA	5031	-34.924	138.5652	-34.924;138.5652
Centrelink Customer Service Centre	Thursday Island	Cnr Hastings Street and Victoria Parade	Thursday Island	QLD	4875	-10.58507	142.22047	-10.58507;142.22047
Centrelink Customer Service Centre	Townsville City (Shopfront)	143 Walker Street	Townsville	QLD	4810	-19.25896	146.81389	-19.25896;146.81389
Centrelink Customer Service Centre	Tuggeranong	"Tuggeranong Square, Corner Anketell and Sheerin Street"	Tuggeranong	ACT	2900	-35.42025	149.06995	-35.42025;149.06995
Centrelink Customer Service Centre	Tumut	Cnr Merivale Russell Streets	Tumut	NSW	2720	-35.2995	148.2215	-35.2995;148.2215
Centrelink Customer Service Centre	Toowoomba	12-20 Bell Street (ground floor)	Toowoomba	QLD	4350	-27.56056	151.95647	-27.56056;151.95647
Centrelink Customer Service Centre	Toowong	17-19 Lissner Street	Toowong	QLD	4066	-27.48419	152.99141	-27.48419;152.99141
Centrelink Customer Service Centre	Ulladulla	270-272 Green Street	Ulladulla	NSW	2539	-35.35716	150.47256	-35.35716;150.47256
Centrelink Customer Service Centre	Victor Harbor	90 Victoria Street	Victor Harbor	SA	5211	-35.5579	138.6149	-35.5579;138.6149
Centrelink Customer Service Centre	Victoria Park	117-121 Shepperton Road	Victoria Park	WA	6100	-31.97252	115.89745	-31.97252;115.89745
Centrelink Customer Service Centre	Walgett	Corner Fox and Euroka Street	Walgett	NSW	2832	-30.0235	148.11629	-30.0235;148.11629
Centrelink Customer Service Centre	Wangaratta	23-25 Faithful Street	Wangaratta	VIC	3677	-36.35343	146.32727	-36.35343;146.32727
Centrelink Customer Service Centre	Shellharbour	"Ground Level, Shop G2 and OA22, Shellharbour Square Shopping Centre, Lake Entrance Road"	Shellharbour	NSW	2529	-34.56388	150.83893	-34.56388;150.83893
Centrelink Customer Service Centre	Woden	"Penrhyn House, 2-6 Bowes Street"	Woden	ACT	2606	-35.3483	149.08701	-35.3483;149.08701
Centrelink Customer Service Centre	Woodridge	21 Station Street	Woodridge	QLD	4114	-27.63841	153.10526	-27.63841;153.10526
Centrelink Customer Service Centre	Werribee	89-91 Synnot Street	Werribee	VIC	3030	-37.9059	144.65726	-37.9059;144.65726
Centrelink Customer Service Centre	Ryde	19-27 Devlin Street	Ryde	NSW	2112	-33.81464	151.1034	-33.81464;151.1034
Centrelink Customer Service Centre	Wagga Wagga	63 Tompson Street	Wagga Wagga	NSW	2650	-35.1118	147.36931	-35.1118;147.36931
Centrelink Customer Service Centre	Warragul	42 Queen Street	Warragul	VIC	3820	-38.1634	145.9289	-38.1634;145.9289
Centrelink Customer Service Centre	Warwick Grove	87 Ellersdale Avenue	Warwick	WA	6024	-31.84228	115.81003	-31.84228;115.81003
Centrelink Customer Service Centre	Whyalla	169 Nicholson Avenue	Whyalla Norrie	SA	5608	-33.02747	137.53575	-33.02747;137.53575
Centrelink Customer Service Centre	Seniors & Carers Townsville	"Corner Kern Brothers Drive and Hervey Range Road, Thuringowa"	Thuringowa	QLD	4817	-19.31855	146.72523	-19.31855;146.72523
Centrelink Customer Service Centre	Hawkesbury	"309-311 George Street, Windsor"	Windsor	NSW	2756	-33.609	150.81667	-33.609;150.81667
Centrelink Customer Service Centre	Wollongong	Grnd / L1 Commonwealth Offices 43 Burelli Street	Wollongong	NSW	2500	-34.42703	150.89806	-34.42703;150.89806
Centrelink Customer Service Centre	Wallsend	70 Robert Street	Wallsend	NSW	2287	-32.90136	151.67182	-32.90136;151.67182
Centrelink Customer Service Centre	Warrnambool	109 Lava Street	Warrnambool	VIC	3280	-38.382	142.4854	-38.382;142.4854
Centrelink Customer Service Centre	Woy Woy	87-89 Blackwall Road	Woy Woy	NSW	2256	-33.48747	151.32514	-33.48747;151.32514
Centrelink Customer Service Centre	Warrawong (Shopfront)	"Westfield Warrawong, Suite 1, Cnr King and Cowper Streets"	Warrawong	NSW	2502	-34.48552	150.88821	-34.48552;150.88821
Centrelink Customer Service Centre	Windsor	255 High Street	Prahran	VIC	3181	-37.85228	144.9969	-37.85228;144.9969
Centrelink Customer Service Centre	Wonthaggi	2 Biggs Drive	Wonthaggi	VIC	3995	-38.60437	145.58825	-38.60437;145.58825
Centrelink Customer Service Centre	Warwick	37-39 Albion Street	Warwick	QLD	4370	-28.21337	152.03436	-28.21337;152.03436
Centrelink Customer Service Centre	Wyong	25-27 Hely Street	Wyong	NSW	2259	-33.28035	151.4253	-33.28035;151.4253
Centrelink Customer Service Centre	Wynnum	89 Tingal Road	Wynnum	QLD	4178	-27.44666	153.17245	-27.44666;153.17245
Centrelink Customer Service Centre	Yamba	"Shop 39, Yamba Shopping Fair, 1 - 3 Treelands Dve"	Yamba	NSW	2464	-29.42935	153.32708	-29.42935;153.32708
